ID;Setor;Coef_Renda;Mult_Renda_Total
9;Fabricação e refino de açúcar;0.21;1.00
10;Outros produtos alimentares;0.29;1.00
19;Derivados de petróleo;0.34;1.00
38;Fabricação de móveis e de produtos de indústrias diversas;0.55;1.00
39;Manutenção, reparação e instalação de máquinas e equipamentos;0.57;1.00
55;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;0.49;1.00
28;Fabricação de produtos de minerais não-metálicos;0.43;1.00
67;Educação pública;0.87;1.00
14;Confecção de artefatos do vestuário e acessórios;0.55;1.00
63;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;0.70;1.00
