ID;Setor;delta_emp;emp_coeff
20;Biodiesel;13465.55;0.252014
21;Coquerias;7.67;0.078893
73;Serviços domésticos;0.00;88.157795
12;Fabricação de produtos do fumo;-0.25;1.133172
69;Saúde pública;-0.99;10.944237
70;Saúde privada;-3.33;11.318282
35;Fabricação de automóveis, caminhões e ônibus, exceto peças;-4.82;0.854764
37;Fabricação de outros equipamentos de transporte, exceto veículos automotores;-5.69;1.945280
6;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;-7.08;0.383857
42;Transmissão;-7.87;0.744163
