ID;Setor;delta_x;delta_va
19;Derivados de petróleo;-78003.33;-7402.46
5;Extração de petróleo e gás, inclusive as atividades de apoio;-5397.42;-2407.05
47;Comércio por atacado e a varejo, exceto veículos automotores;-1674.08;-1023.60
43;Gás Natural;-1621.04;-922.61
22;Fabricação de biocombustíveis;-1404.01;-296.13
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-1392.78;-733.10
9;Fabricação e refino de açúcar;-1204.00;-196.73
48;Transporte terrestre;-889.99;-368.69
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;-787.77;-540.57
58;Intermediação financeira, seguros e previdência complementar;-635.47;-413.85
