setor;ID;Setor;f_base;delta_f;f_cen1;delta_x;x_cen1;delta_va;delta_emp
S01;1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;217110.584569473;0.0;217110.584569473;-1392.7763307276794;396644.2236692723;-733.1026056047223;-23400.662743910987
S02;2;Pecuária, inclusive o apoio à pecuária;50137.431159092725;0.0;50137.431159092725;-30.89365459146552;151928.10634540854;-14.575167545004547;-1197.7216915728598
S03;3;"Produção florestal; pesca e aquicultura";21899.685071296444;0.0;21899.685071296444;-11.685850998929212;37858.31414900107;-8.766085428507553;-247.20064673457077
S04;4;Extração de carvão mineral e de minerais não-metálicos;1502.2190605267315;0.0;1502.2190605267315;-39.90938753628709;19971.09061246371;-16.25613001890341;-235.8863984929235
S05;5;Extração de petróleo e gás, inclusive as atividades de apoio;92530.86238564484;0.0;92530.86238564484;-5397.415107450188;220540.5848925498;-2407.047713207521;-1197.8860711698883
S06;6;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;73313.87283754621;0.0;73313.87283754621;-18.451235946003248;92307.548764054;-9.019973606426253;-7.082639797309048
S07;7;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;9924.989907944699;0.0;9924.989907944699;-7.175891642217627;18265.82410835778;-2.758357297375176;-11.36840623600712
S08;8;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;236645.64617696128;0.0;236645.64617696128;-31.91217168173732;292374.08782831824;-5.001835599631;-83.51147922822638
S09;9;Fabricação e refino de açúcar;33288.97225664605;0.0;33288.97225664605;-1203.999617350227;50351.00038264977;-196.73150570377854;-3653.4983636408538
S10;10;Outros produtos alimentares;221291.87240643377;0.0;221291.87240643377;-454.72263098727984;324488.2773690127;-92.39905423052073;-1798.4062240183873
S11;11;Fabricação de bebidas;43721.134281979226;0.0;43721.134281979226;-13.446975867013972;78530.55302413298;-3.7801643301037444;-32.69225814398962
S12;12;Fabricação de produtos do fumo;15316.154189789704;0.0;15316.154189789704;-0.22397943030261577;15693.776020569698;-0.05112108572345924;-0.253807199471245
S13;13;Fabricação de produtos têxteis;22562.766968267544;0.0;22562.766968267544;-15.40918239050677;54777.590817609496;-4.512823715081529;-177.77859420793874
S14;14;Confecção de artefatos do vestuário e acessórios;60413.609508099136;0.0;60413.609508099136;-7.45696894529384;66424.54303105471;-3.1883391426138945;-188.19619665393813
S15;15;Fabricação de calçados e de artefatos de couro;39028.75290255617;0.0;39028.75290255617;-3.5349785412728956;43844.465021458724;-1.2552366330874607;-37.77278714731108
