ID;Setor;delta_emp;emp_coeff
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-13350.61;16.801451
19;Derivados de petróleo;-3061.56;0.043436
9;Fabricação e refino de açúcar;-2954.26;3.034468
10;Outros produtos alimentares;-1181.52;3.954952
43;Gás Natural;-1070.10;0.676335
22;Fabricação de biocombustíveis;-785.17;1.798323
2;Pecuária, inclusive o apoio à pecuária;-507.63;38.769181
33;Fabricação de máquinas e equipamentos elétricos;-71.83;2.480856
3;"Produção florestal; pesca e aquicultura";-71.03;21.153842
48;Transporte terrestre;-62.98;10.221896
