ID;Setor;delta_x;delta_va
19;Derivados de petróleo;-70484.53;-6688.94
43;Gás Natural;-1582.21;-900.52
9;Fabricação e refino de açúcar;-973.57;-159.08
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-794.61;-418.25
22;Fabricação de biocombustíveis;-436.61;-92.09
10;Outros produtos alimentares;-298.75;-60.70
24;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;-45.53;-7.86
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;-34.70;-5.16
41;Geração distribuída de energia elétrica;-30.83;-10.69
33;Fabricação de máquinas e equipamentos elétricos;-28.95;-7.26
