ID;Setor;delta_x;delta_va
40;Geração centralizada de energia elétrica;5058.54;1687.44
20;Biodiesel;1781.79;180.55
42;Transmissão;363.31;194.72
41;Geração distribuída de energia elétrica;314.19;108.90
58;Intermediação financeira, seguros e previdência complementar;103.04;67.10
33;Fabricação de máquinas e equipamentos elétricos;87.59;21.95
64;Outras atividades administrativas e serviços complementares;61.30;41.38
62;Outras atividades profissionais, científicas e técnicas;61.07;22.61
22;Fabricação de biocombustíveis;60.95;12.86
31;Fabricação de produtos de metal, exceto máquinas e equipamentos;44.74;14.63
