ID;Setor;delta_emp;emp_coeff
47;Comércio por atacado e a varejo, exceto veículos automotores;-31231.45;14.540389
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-14720.89;16.801451
48;Transporte terrestre;-10625.99;10.221896
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;-8680.49;8.257374
64;Outras atividades administrativas e serviços complementares;-4357.68;15.966609
9;Fabricação e refino de açúcar;-2593.01;3.034468
51;Armazenamento, atividades auxiliares dos transportes e correio;-2323.79;5.822909
19;Derivados de petróleo;-2232.95;0.043436
72;Organizações associativas e outros serviços pessoais;-1971.29;26.191451
39;Manutenção, reparação e instalação de máquinas e equipamentos;-1751.61;6.660177
