ID;Setor;delta_x;delta_VA
20;Biodiesel;55369.65;5610.74
22;Fabricação de biocombustíveis;33117.07;6985.03
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;13893.49;7312.99
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2291.03;340.72
10;Outros produtos alimentares;1820.12;369.85
48;Transporte terrestre;1440.13;596.60
24;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;1055.77;182.35
47;Comércio por atacado e a varejo, exceto veículos automotores;869.94;531.92
58;Intermediação financeira, seguros e previdência complementar;809.10;526.92
8;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;505.49;79.23
