ID;Setor;delta_emp;emp_coeff
20;Biodiesel;7867.72;0.252014
47;Comércio por atacado e a varejo, exceto veículos automotores;2674.00;14.540389
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;2002.15;16.801451
22;Fabricação de biocombustíveis;1533.24;1.798323
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;714.43;8.257374
48;Transporte terrestre;517.48;10.221896
2;Pecuária, inclusive o apoio à pecuária;192.37;38.769181
64;Outras atividades administrativas e serviços complementares;188.51;15.966609
39;Manutenção, reparação e instalação de máquinas e equipamentos;152.78;6.660177
51;Armazenamento, atividades auxiliares dos transportes e correio;138.45;5.822909
